report_date,zip,geoid,county,state,last_update,confirmed,confirmed_rate
2020-04-07,63088,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,7,0.8357211079274117
2020-04-07,63105,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,11,0.6325474410580794
2020-04-07,63114,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,18,0.5072279989855439
2020-04-07,63117,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,11,1.2941176470588236
2020-04-07,63119,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,24,0.7095973035302465
2020-04-07,63120,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-07,63121,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,44,1.7868020304568528
2020-04-07,63122,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,41,1.0598149201261438
2020-04-07,63123,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,34,0.7002512666309676
2020-04-07,63124,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,14,1.293063637203288
2020-04-07,63125,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,25,0.7633121641426478
2020-04-07,63126,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,8,0.541235369731412
2020-04-07,63127,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-07,63128,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,16,0.5364986755188947
2020-04-07,63129,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,39,0.726649400980045
2020-04-07,63130,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,39,1.367893093893585
2020-04-07,63131,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,21,1.1913541725761616
2020-04-07,63132,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,24,1.7874432114396366
2020-04-07,63133,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,13,1.7862050013740038
2020-04-07,63134,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,34,2.5138632162661736
2020-04-07,63135,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,31,1.4175316658283414
2020-04-07,63136,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,94,2.158686416350901
2020-04-07,63137,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,34,2.454873646209386
2020-04-07,63138,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,50,2.6907760198041117
2020-04-07,63140,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-07,63141,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,29,1.4111922141119222
2020-04-07,63143,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-07,63144,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,11,1.2607449856733524
2020-04-07,63146,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,34,1.1266485519252436
2020-04-07,63147,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-07,63304,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63005,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,34,1.9008218259070835
2020-04-08,63011,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,36,0.9366219169528568
2020-04-08,63017,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,55,1.3235152565213206
2020-04-08,63021,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,48,0.8535913075951843
2020-04-08,63025,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,11,1.3115535948491712
2020-04-08,63026,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,17,0.7643197554176783
2020-04-08,63031,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,64,1.3496699635167337
2020-04-08,63033,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,79,1.8375939150054663
2020-04-08,63034,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,48,2.6847139101739472
2020-04-08,63038,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63040,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63042,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,26,1.3372421951344957
2020-04-08,63043,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,20,0.887941751021133
2020-04-08,63044,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,8,0.7593014426727411
2020-04-08,63049,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63069,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63074,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,16,1.0502822633582776
2020-04-08,63088,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,7,0.8357211079274117
2020-04-08,63105,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,12,0.690051753881541
2020-04-08,63114,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,21,0.591765998816468
2020-04-08,63117,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,11,1.2941176470588236
2020-04-08,63119,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,26,0.7687304121577672
2020-04-08,63120,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63121,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,48,1.949238578680203
2020-04-08,63122,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,44,1.1373623533061055
2020-04-08,63123,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,35,0.7208468921201137
2020-04-08,63124,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,16,1.477787013946615
2020-04-08,63125,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,24,0.7327796775769418
2020-04-08,63126,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,8,0.541235369731412
2020-04-08,63127,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63128,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,18,0.6035610099587566
2020-04-08,63129,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,41,0.7639134728251755
2020-04-08,63130,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,45,1.5783381852618288
2020-04-08,63131,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,22,1.2480853236512168
2020-04-08,63132,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,26,1.9363968123929396
2020-04-08,63133,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,14,1.9236053860950812
2020-04-08,63134,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,37,2.7356746765249538
2020-04-08,63135,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,36,1.646165805478074
2020-04-08,63136,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,103,2.365369158341945
2020-04-08,63137,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,37,2.6714801444043323
2020-04-08,63138,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,57,3.067484662576687
2020-04-08,63140,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63141,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,30,1.4598540145985401
2020-04-08,63143,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63144,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,13,1.489971346704871
2020-04-08,63146,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,39,1.2923321625024853
2020-04-08,63147,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
2020-04-08,63304,29189,St. Louis,Missouri,2020-04-09T12:27:42Z,NA,NA
