state_name,geoid,name,report_date,last_update,confirmed,confirmed_rate,deaths,mortality_rate,case_fatality_rate,recovered
Illinois,17125,Mason,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17127,Massac,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17129,Menard,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17131,Mercer,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17133,Monroe,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17135,Montgomery,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17137,Morgan,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17139,Moultrie,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17141,Ogle,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17143,Peoria,2020-03-22,2020-03-22T23:45:00Z,3,0.01626342410131029,0,0,0,0
Illinois,17145,Perry,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17147,Piatt,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17149,Pike,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17151,Pope,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17153,Pulaski,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17155,Putnam,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17157,Randolph,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17159,Richland,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17161,Rock Island,2020-03-22,2020-03-22T23:45:00Z,1,0.006883496816382722,0,0,0,0
Illinois,17163,St. Clair,2020-03-22,2020-03-22T23:45:00Z,3,0.011386798146229261,0,0,0,0
Illinois,17165,Saline,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
