"Provider.State","total.beds","total.beds.occupied","total.staff.infected","total.residents.infected","total.staff.deaths","total.residents.suspected","total.confirmed.residents.admitted","rate.staff.beds","rate.staff.residents","rate.resident.beds","rate.resident.beds.occupied","rate.resident.suspected.beds.occupied","rate.staff.deaths","rate.staff.deaths.occupied","total.transmission","rate.transmission","pct.increase.transmission"
"NM",6819,4724,522,633,1,134,467,76.5508139023317,82.4644549763033,92.8288605367356,133.996613039797,28.3657917019475,0.146649068778413,0.211685012701101,166,2.43437454172166,35.5460385438972
"NV",6684,4864,989,1142,7,1128,672,147.965290245362,86.6024518388792,170.855774985039,234.786184210526,231.907894736842,1.04727707959306,1.43914473684211,470,7.03171753441053,69.9404761904762
"NY",111517,88882,15159,13275,55,7353,10035,135.934431521651,114.19209039548,119.0401463454,149.35532503769,82.727661393758,0.493198346440453,0.618797956841655,3240,2.9053866226674,32.2869955156951
"OH",84515,64170,6727,8964,25,4860,3616,79.5953381056617,75.0446229361892,106.064012305508,139.691444600281,75.7363253856942,0.295805478317458,0.389590151160979,5348,6.32787079216707,147.898230088496
"OK",27533,16213,1823,2257,12,1320,769,66.2114553444957,80.7709348692955,81.9743580430756,139.209276506507,81.416147535928,0.435840627610504,0.740146795781163,1488,5.40442378237025,193.498049414824
"OR",9539,6658,466,445,0,789,444,48.8520809309152,104.719101123596,46.6505923052731,66.8368879543406,118.504055271853,0,0,1,0.0104832791697243,0.225225225225225
"PA",86697,65379,8264,13807,27,10002,4553,95.3204839844516,59.8536973998696,159.255798931912,211.184019333425,152.984903409352,0.311429461227032,0.412976643876474,9254,10.6739564229443,203.250603997364
"PR",141,59,3,5,0,1,0,21.2765957446809,60,35.4609929078014,84.7457627118644,16.9491525423729,0,0,5,3.54609929078014,Inf
"RI",8624,6354,1203,2029,7,718,677,139.494434137291,59.2902907836373,235.273654916512,319.326408561536,112.999685237646,0.811688311688312,1.10166824047844,1352,15.6771799628943,199.704579025111
"SC",19802,14839,3452,5252,15,2596,1508,174.325825674174,65.7273419649657,265.225734774265,353.932205674237,174.944403261675,0.757499242500757,1.01084978772154,3744,18.9071810928189,248.275862068966
"SD",6405,5148,602,391,1,402,131,93.9890710382514,153.964194373402,61.0460577673692,75.951825951826,78.0885780885781,0.156128024980484,0.194250194250194,260,4.05932864949258,198.473282442748
"TN",35888,24184,4578,3982,5,1855,1170,127.563530985288,114.9673530889,110.956308515381,164.654316903738,76.7036056897122,0.139322336156933,0.206748263314588,2812,7.83548818546589,240.34188034188
"TX",133549,77343,16613,21290,64,6939,6761,124.396289002538,78.0319398778769,159.417142771567,275.267315723466,89.7172336216594,0.47922485379898,0.827482771550108,14529,10.8791529700709,214.894246413252
"UT",7612,4944,824,705,1,527,642,108.250131371519,116.879432624113,92.6169206516027,142.597087378641,106.593851132686,0.131371518654756,0.202265372168285,63,0.827640567524961,9.81308411214953
"VA",31587,24346,3222,4583,17,2922,1505,102.003988982809,70.3032947850753,145.091335042897,188.244475478518,120.019715764397,0.538196093329534,0.698266655713464,3078,9.7445151486371,204.518272425249
"VT",2938,2189,64,99,0,310,23,21.783526208305,64.6464646464647,33.6963921034718,45.2261306532663,141.617176793056,0,0,76,2.58679373723622,330.434782608696
"WA",19096,13392,1548,1940,7,1691,955,81.0640971931294,79.7938144329897,101.591956430666,144.862604540024,126.269414575866,0.366568914956012,0.522700119474313,985,5.15814830330959,103.141361256544
"WI",27915,19586,1718,1276,3,1808,862,61.543972774494,134.639498432602,45.710191653233,65.1485755131216,92.3108342693761,0.107469102632993,0.153170632084142,414,1.4830736163353,48.0278422273782
"WV",10459,8652,671,850,1,988,144,64.1552729706473,78.9411764705882,81.2697198584951,98.2431807674526,114.19325011558,0.0956114351276413,0.115580212667591,706,6.75016732001147,490.277777777778
"WY",2907,2166,70,20,0,73,18,24.0798073615411,350,6.87994496044032,9.23361034164358,33.7026777469991,0,0,2,0.0687994496044032,11.1111111111111
