geoid,state,value,cases_est,case_rate,cases_pct,deaths_est,mortality_rate,deaths_pct,report_date
29,Missouri,White,12997.6434,259.51988502382625,45.09,638.6399,12.751523358428798,58.43,2020-07-14
29,Missouri,Black,7316.038799999999,1037.8891070455784,25.38,377.5222,53.55714885600145,34.54,2020-07-14
29,Missouri,Two or More,830.1888,534.4746600741656,2.88,9.0719,5.840479501442109,0.83,2020-07-14
29,Missouri,Latino,4364.2564,1751.9746291724373,15.14,28.090099999999996,11.276409546175307,2.57,2020-07-14
