geoid,county,value,sex,cases,case_rate,deaths,mortality_rate,report_date
29510,St. Louis City,Black,Female,953,12.061306367306646,48,0.6074949691822865,2020-07-09
29510,St. Louis City,Black,Male,748,11.156852216454867,58,0.8651035141101366,2020-07-09
29510,St. Louis City,Asian,Female,22,4.327301337529505,NA,NA,2020-07-09
29510,St. Louis City,Asian,Male,29,5.786113328012769,0,0,2020-07-09
29510,St. Louis City,White,Female,389,5.481652668958909,21,0.2959246942111493,2020-07-09
29510,St. Louis City,White,Male,346,4.74024550635686,28,0.3836036825953529,2020-07-09
