report_date,new_in_pt,new_in_pt_avg,in_pt,in_pt_avg,icu,icu_avg,vent,vent_avg,discharge,new_discharge
2020-04-22,44,48.857142857142854,685,700.7142857142857,185,181.57142857142858,133,139.85714285714286,NA,NA
2020-04-23,36,47,694,701.7142857142857,170,180.28571428571428,123,135.28571428571428,NA,NA
2020-04-24,44,44.857142857142854,701,704.1428571428571,168,179.57142857142858,114,131,NA,NA
2020-04-25,45,45.142857142857146,652,699.7142857142857,159,177.14285714285714,118,128.42857142857142,1082,48
2020-04-26,42,43.57142857142857,652,698.7142857142857,162,175.28571428571428,115,125,1117,15
2020-04-27,45,43.285714285714285,690,689.1428571428571,154,169.28571428571428,109,120.28571428571429,1167,50
2020-04-28,37,41.857142857142854,678,678.8571428571429,159,165.28571428571428,113,117.85714285714286,1209,42
2020-04-29,44,41.857142857142854,702,681.2857142857143,160,161.71428571428572,121,116.14285714285714,1260,51
2020-04-30,55,44.57142857142857,685,680,164,160.85714285714286,117,115.28571428571429,1320,60
2020-05-01,47,45,654,673.2857142857143,164,160.28571428571428,112,115,NA,NA
2020-05-02,32,43.142857142857146,656,673.8571428571429,178,163,118,115,NA,NA
2020-05-03,32,41.714285714285715,660,675,158,162.42857142857142,117,115.28571428571429,1422,24
2020-05-04,29,39.42857142857143,653,669.7142857142857,164,163.85714285714286,110,115.42857142857143,1463,41
2020-05-05,35,39.142857142857146,673,669,158,163.71428571428572,117,116,1508,45
2020-05-06,33,37.57142857142857,630,658.7142857142857,145,161.57142857142858,118,115.57142857142857,1553,45
2020-05-07,31,34.142857142857146,596,646,147,159.14285714285714,106,114,1609,56
2020-05-08,25,31,506,624.8571428571429,133,154.71428571428572,104,112.85714285714286,NA,NA
2020-05-09,16,28.714285714285715,540,608.2857142857143,138,149,108,111.42857142857143,1663,15
2020-05-10,20,27,505,586.1428571428571,140,146.42857142857142,111,110.57142857142857,1674,11
2020-05-11,32,27.428571428571427,492,563.1428571428571,131,141.71428571428572,98,108.85714285714286,1711,37
2020-05-12,31,26.857142857142858,531,542.8571428571429,137,138.71428571428572,94,105.57142857142857,1745,34
2020-05-13,24,25.571428571428573,513,526.1428571428571,125,135.85714285714286,93,102,1784,39
2020-05-14,27,25,488,510.7142857142857,121,132.14285714285714,84,98.85714285714286,1827,43
2020-05-15,28,25.428571428571427,464,504.7142857142857,120,130.28571428571428,88,96.57142857142857,1864,37
2020-05-16,32,27.714285714285715,456,492.7142857142857,122,128,84,93.14285714285714,1880,16
2020-05-17,25,28.428571428571427,467,487.2857142857143,121,125.28571428571429,75,88,1892,12
2020-05-18,31,28.285714285714285,487,486.57142857142856,109,122.14285714285714,76,84.85714285714286,1924,32
2020-05-19,20,26.714285714285715,455,475.7142857142857,98,116.57142857142857,70,81.42857142857143,1958,34
2020-05-20,27,27.142857142857142,436,464.7142857142857,103,113.42857142857143,69,78,1996,38
2020-05-21,26,27,448,459,94,109.57142857142857,75,76.71428571428571,2030,34
2020-05-22,20,25.857142857142858,430,454.14285714285717,102,107,74,74.71428571428571,2075,45
2020-05-23,21,24.285714285714285,408,447.2857142857143,100,103.85714285714286,65,72,2088,13
2020-05-24,12,22.428571428571427,413,439.57142857142856,110,102.28571428571429,71,71.42857142857143,2105,17
2020-05-25,18,20.571428571428573,395,426.42857142857144,97,100.57142857142857,65,69.85714285714286,2123,18
2020-05-26,25,21.285714285714285,415,420.7142857142857,86,98.85714285714286,62,68.71428571428571,2157,34
2020-05-27,27,21.285714285714285,395,414.85714285714283,91,97.14285714285714,63,67.85714285714286,2201,44
2020-05-28,17,20,398,407.7142857142857,87,96.14285714285714,57,65.28571428571429,2233,32
2020-05-29,18,19.714285714285715,363,398.14285714285717,97,95.42857142857143,59,63.142857142857146,2269,36
2020-05-30,15,18.857142857142858,321,385.7142857142857,75,91.85714285714286,47,60.57142857142857,2282,13
2020-05-31,17,19.571428571428573,321,372.57142857142856,87,88.57142857142857,50,57.57142857142857,2287,5
2020-06-01,15,19.142857142857142,331,363.42857142857144,78,85.85714285714286,53,55.857142857142854,2314,27
2020-06-02,11,17.142857142857142,348,353.85714285714283,68,83.28571428571429,46,53.57142857142857,2342,28
2020-06-03,NA,NA,341,346.14285714285717,74,80.85714285714286,51,51.857142857142854,2372,30
2020-06-04,NA,NA,307,333.14285714285717,72,78.71428571428571,43,49.857142857142854,NA,NA
