report_date,geoid,county,state,last_update,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-01-27,29177,Ray,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-27,29511,Kansas City,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,20091,Johnson,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,20103,Leavenworth,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,20107,Linn,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,20121,Miami,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,20209,Wyandotte,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29013,Bates,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29025,Caldwell,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29037,Cass,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29047,Clay,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29049,Clinton,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29095,Jackson,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29107,Lafayette,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29165,Platte,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29177,Ray,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,29511,Kansas City,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,20091,Johnson,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,20103,Leavenworth,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,20107,Linn,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,20121,Miami,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,20209,Wyandotte,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29013,Bates,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29025,Caldwell,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29037,Cass,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29047,Clay,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29049,Clinton,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29095,Jackson,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29107,Lafayette,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29165,Platte,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29177,Ray,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,29511,Kansas City,Missouri,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-30,20091,Johnson,Kansas,2020-04-14 00:00:01,0,0,0,0,0,0,0,0,NaN
