Date,county,cases
2020-05-06T00:00:00Z,Jackson,482
2020-05-06T00:00:00Z,Platte,36
2020-05-06T00:00:00Z,Cass,0
2020-05-07T00:00:00Z,Clay,163
2020-05-07T00:00:00Z,Jackson,514
2020-05-07T00:00:00Z,Platte,38
2020-05-07T00:00:00Z,Cass,0
2020-05-08T00:00:00Z,Clay,165
2020-05-08T00:00:00Z,Jackson,526
2020-05-08T00:00:00Z,Platte,39
2020-05-08T00:00:00Z,Cass,0
2020-05-11T00:00:00Z,Clay,178
2020-05-11T00:00:00Z,Jackson,542
2020-05-11T00:00:00Z,Platte,41
2020-05-11T00:00:00Z,Cass,0
2020-05-12T00:00:00Z,Clay,182
2020-05-12T00:00:00Z,Jackson,566
2020-05-12T00:00:00Z,Platte,41
2020-05-12T00:00:00Z,Cass,0
2020-05-13T00:00:00Z,Clay,183
2020-05-13T00:00:00Z,Jackson,576
2020-05-13T00:00:00Z,Platte,43
2020-05-13T00:00:00Z,Cass,0
2020-05-14T00:00:00Z,Clay,186
2020-05-14T00:00:00Z,Jackson,582
2020-05-14T00:00:00Z,Platte,45
2020-05-14T00:00:00Z,Cass,0
2020-05-15T00:00:00Z,Clay,196
2020-05-15T00:00:00Z,Jackson,602
2020-05-15T00:00:00Z,Platte,45
2020-05-15T00:00:00Z,Cass,0
2020-05-16T00:00:00Z,Clay,NA
2020-05-16T00:00:00Z,Jackson,NA
2020-05-16T00:00:00Z,Platte,NA
2020-05-16T00:00:00Z,Cass,NA
2020-05-17T00:00:00Z,Clay,NA
2020-05-17T00:00:00Z,Jackson,NA
2020-05-17T00:00:00Z,Platte,NA
2020-05-17T00:00:00Z,Cass,NA
2020-05-18T00:00:00Z,Clay,204
2020-05-18T00:00:00Z,Jackson,613
2020-05-18T00:00:00Z,Platte,47
2020-05-18T00:00:00Z,Cass,0
2020-05-19T00:00:00Z,Clay,216
2020-05-19T00:00:00Z,Jackson,638
2020-05-19T00:00:00Z,Platte,49
