report_date,geoid,county,state,cases
2020-05-14,29095,Jackson,Missouri,582
2020-05-14,29165,Platte,Missouri,45
2020-05-14,29037,Cass,Missouri,0
2020-05-15,29047,Clay,Missouri,196
2020-05-15,29095,Jackson,Missouri,602
2020-05-15,29165,Platte,Missouri,45
2020-05-15,29037,Cass,Missouri,0
2020-05-18,29047,Clay,Missouri,204
2020-05-18,29095,Jackson,Missouri,613
2020-05-18,29165,Platte,Missouri,47
2020-05-18,29037,Cass,Missouri,0
2020-05-19,29047,Clay,Missouri,216
2020-05-19,29095,Jackson,Missouri,638
2020-05-19,29165,Platte,Missouri,49
2020-05-19,29037,Cass,Missouri,0
2020-05-20,29047,Clay,Missouri,225
2020-05-20,29095,Jackson,Missouri,643
2020-05-20,29165,Platte,Missouri,49
2020-05-20,29037,Cass,Missouri,0
2020-05-21,29047,Clay,Missouri,234
2020-05-21,29095,Jackson,Missouri,654
2020-05-21,29165,Platte,Missouri,51
2020-05-21,29037,Cass,Missouri,0
2020-05-22,29047,Clay,Missouri,243
2020-05-22,29095,Jackson,Missouri,666
2020-05-22,29165,Platte,Missouri,53
2020-05-22,29037,Cass,Missouri,0
2020-05-26,29047,Clay,Missouri,255
2020-05-26,29095,Jackson,Missouri,701
2020-05-26,29165,Platte,Missouri,55
2020-05-26,29037,Cass,Missouri,0
2020-05-27,29047,Clay,Missouri,267
2020-05-27,29095,Jackson,Missouri,724
2020-05-27,29165,Platte,Missouri,59
2020-05-27,29037,Cass,Missouri,0
2020-05-28,29047,Clay,Missouri,267
2020-05-28,29095,Jackson,Missouri,740
2020-05-28,29165,Platte,Missouri,64
2020-05-28,29037,Cass,Missouri,0
2020-05-29,29047,Clay,Missouri,274
2020-05-29,29095,Jackson,Missouri,754
2020-05-29,29165,Platte,Missouri,68
2020-05-29,29037,Cass,Missouri,0
2020-06-01,29047,Clay,Missouri,281
2020-06-01,29095,Jackson,Missouri,783
2020-06-01,29165,Platte,Missouri,69
2020-06-01,29037,Cass,Missouri,0
2020-06-02,29047,Clay,Missouri,296
2020-06-02,29095,Jackson,Missouri,813
2020-06-02,29165,Platte,Missouri,74
2020-06-02,29037,Cass,Missouri,0
2020-06-03,29047,Clay,Missouri,300
2020-06-03,29095,Jackson,Missouri,862
2020-06-03,29165,Platte,Missouri,76
