"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1550000US2937592097","Jasper County (part), Joplin city, Missouri","43052","69"
"1550000US2937592145","Newton County (part), Joplin city, Missouri","7021","23"
"1550000US2938000037","Cass County (part), Kansas City city, Missouri","136","46"
"1550000US2938000047","Clay County (part), Kansas City city, Missouri","122551","87"
"1550000US2938000095","Jackson County (part), Kansas City city, Missouri","311104","94"
"1550000US2938000165","Platte County (part), Kansas City city, Missouri","47626","54"
