GEOID,NAME,total_pop
16020,"Cape Girardeau, MO-IL Metro Area",97137
17860,"Columbia, MO Metro Area",176515
27620,"Jefferson City, MO Metro Area",151157
27900,"Joplin, MO Metro Area",177440
28140,"Kansas City, MO-KS Metro Area",2106632
41140,"St. Joseph, MO-KS Metro Area",126779
41180,"St. Louis, MO-IL Metro Area",2805551
44180,"Springfield, MO Metro Area",458834
