report_date,state,last_update,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-01-24,Illinois,2020-04-13 00:00:01,1,0.007799401271162018,1,0.14285714285714285,0,0,0,0,0
2020-01-24,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,Illinois,2020-04-13 00:00:01,1,0.007799401271162018,0,0.14285714285714285,0,0,0,0,0
2020-01-25,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,Illinois,2020-04-13 00:00:01,1,0.007799401271162018,0,0.14285714285714285,0,0,0,0,0
2020-01-26,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-27,Illinois,2020-04-13 00:00:01,1,0.007799401271162018,0,0.14285714285714285,0,0,0,0,0
2020-01-27,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-27,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,Illinois,2020-04-13 00:00:01,1,0.007799401271162018,0,0.14285714285714285,0,0,0,0,0
2020-01-28,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-28,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,Illinois,2020-04-13 00:00:01,1,0.007799401271162018,0,0.14285714285714285,0,0,0,0,0
2020-01-29,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-29,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-30,Illinois,2020-04-13 00:00:01,2,0.015598802542324037,1,0.2857142857142857,0,0,0,0,0
2020-01-30,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-30,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-31,Illinois,2020-04-13 00:00:01,2,0.015598802542324037,0,0.14285714285714285,0,0,0,0,0
2020-01-31,Kansas,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-31,Missouri,2020-04-13 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-02-01,Illinois,2020-04-13 00:00:01,2,0.015598802542324037,0,0.14285714285714285,0,0,0,0,0
